phylum;subphylum;class;order;genus;name;taxID;jgiID 
Ascomycota;Pezizomycotina;Dothideomycetes;Pleosporales;Aaosphaeria;Aaosphaeria arxii;1450171;Aaoar1
Basidiomycota;Agaricomycotina;Agaricomycetes;Polyporales;Abortiporus;Abortiporus biennis;137743;Abobi1
Basidiomycota;Agaricomycotina;Agaricomycetes;Polyporales;Abortiporus;Abortiporus biennis;137743;Abobie1
Mucoromycota;Mucoromycotina;Mucoromycetes;Mucorales;Absidia;Absidia repens;90262;Absrep1
Basidiomycota;Ustilaginomycotina;Exobasidiomycetes;Exobasidiales;Acaromyces;Acaromyces ingoldii;215250;Acain1
Ascomycota;Pezizomycotina;Leotiomycetes;Helotiales;Acephala;Acephala macrosclerotiorum;886606;Acema1
Ascomycota;Pezizomycotina;Sordariomycetes;Sordariales;Achaetomium;Achaetomium strumarium;79814;Achstr1
Ascomycota;Pezizomycotina;Sordariomycetes;;Acidothrix;Acidothrix acidophila;1442179;Aciaci1
Ascomycota;Pezizomycotina;Dothideomycetes;Capnodiales;Acidomyces;Acidomyces richmondensis;245562;Aciri1_iso
Ascomycota;Pezizomycotina;Dothideomycetes;Capnodiales;Acidomyces;Acidomyces richmondensis;245562;Aciri1_meta
Ascomycota;Pezizomycotina;Sordariomycetes;Glomerellales;Acremonium;Acremonium alcalophilum JCM 7366;591952;Acral2
Ascomycota;Pezizomycotina;Sordariomycetes;Hypocreales;Acremonium;Acremonium chrysogenum ATCC 11550;857340;Acrchr1
Ascomycota;;;;Acremonium;Acremonium sp. TS7;2614577;AcreTS7_1
Ascomycota;Pezizomycotina;Sordariomycetes;Hypocreales;Sarocladium;Sarocladium strictum;5046;Acrst1
Basidiomycota;Agaricomycotina;Agaricomycetes;Agaricales;Agaricus;Agaricus bisporus var. bisporus H97;936046;Agabi_varbisH97_2
Basidiomycota;Agaricomycotina;Agaricomycetes;Agaricales;Agaricus;Agaricus bisporus var. burnettii JB137-S8;597362;Agabi_varbur_1
Basidiomycota;Pucciniomycotina;Agaricostilbomycetes;Agaricostilbales;Sterigmatomyces;Sterigmatomyces hyphaenes;44565;Agahy1
Basidiomycota;Agaricomycotina;Agaricomycetes;Agaricales;Agrocybe;Agrocybe pediades;84607;Agrped1
Basidiomycota;Agaricomycotina;Agaricomycetes;Agaricales;Agrocybe;Agrocybe praecox;71668;Agrpra2
Basidiomycota;Agaricomycotina;Agaricomycetes;Russulales;Albatrellus;Albatrellus peckianus;80572;Albpec1
Ascomycota;Pezizomycotina;Dothideomycetes;Jahnulales;Aliquandostipite;Aliquandostipite khaoyaiensis;112102;Alikh1
Blastocladiomycota;;Blastocladiomycetes;Blastocladiales;Allomyces;Allomyces macrogynus ATCC 38327;578462;Allma1
Ascomycota;Pezizomycotina;Dothideomycetes;Pleosporales;Alternaria;Alternaria alternata;5599;Altal1
Ascomycota;Pezizomycotina;Dothideomycetes;Pleosporales;Alternaria;Alternaria alternata;5599;Altalt1
Ascomycota;Pezizomycotina;Dothideomycetes;Pleosporales;Alternaria;Alternaria brassicicola;29001;Altbr1
Ascomycota;Pezizomycotina;Dothideomycetes;Pleosporales;Alternaria;Alternaria rosae;1187941;Altro1
Basidiomycota;Agaricomycotina;Agaricomycetes;Agaricales;Amanita;Amanita muscaria Koide BX008;946122;Amamu1
Basidiomycota;Agaricomycotina;Agaricomycetes;Agaricales;Amanita;Amanita rubescens;71933;Amarub1
Basidiomycota;Agaricomycotina;Agaricomycetes;Agaricales;Amanita;Amanita thiersii Skay4041;703135;Amath1
Ascomycota;Saccharomycotina;Saccharomycetes;Saccharomycetales;Ambrosiozyma;Ambrosiozyma philentoma;43984;Ambph1
Ascomycota;Pezizomycotina;Dothideomycetes;Pleosporales;Amniculicola;Amniculicola lignicola CBS 123094;1392246;Amnli1
Ascomycota;Pezizomycotina;Leotiomycetes;;Amorphotheca;Amorphotheca resinae;5101;Amore1
Ascomycota;Pezizomycotina;Dothideomycetes;Pleosporales;Ampelomyces;Ampelomyces quisqualis;50730;Ampqui1
Basidiomycota;Agaricomycotina;Agaricomycetes;Russulales;Amylostereum;Amylostereum chailletii;55340;Amycha1
Ascomycota;Pezizomycotina;Leotiomycetes;Helotiales;Amylocarpus;Amylocarpus encephaloides;45428;Amyenc1
Basidiomycota;Agaricomycotina;Agaricomycetes;Polyporales;Amylocystis;Amylocystis lapponica;202700;Amylap1_1
Mucoromycota;Mucoromycotina;Mucoromycetes;Mucorales;Amylomyces;Amylomyces rouxii;29923;Amyrou1
Basidiomycota;Agaricomycotina;Agaricomycetes;Amylocorticiales;Amylocorticium;Amylocorticium subincarnatum;264088;Amysub1
Chytridiomycota;;Neocallimastigomycetes;Neocallimastigales;Anaeromyces;Anaeromyces robustus;1754192;Anasp1
Ascomycota;Pezizomycotina;Sordariomycetes;Xylariales;Annulohypoxylon;Annulohypoxylon bovei;326616;Annbov1
